time,pid_tb.proportional[31:0]
4572300000,12450
4579500000,12450
4579500000,12430
4586700000,12430
4586700000,12410
4593900000,12410
4593900000,12390
4601100000,12390
4601100000,12370
4608300000,12370
4608300000,12350
4615500000,12350
4615500000,12330
4622700000,12330
4622700000,12310
4629900000,12310
4629900000,12290
4637100000,12290
4637100000,12270
4644300000,12270
4644300000,12250
4651500000,12250
4651500000,12230
4658700000,12230
4658700000,12210
4665900000,12210
4665900000,12190
4673100000,12190
4673100000,12170
4680300000,12170
4680300000,12150
4687500000,12150
4687500000,12130
4694700000,12130
4694700000,12110
4701900000,12110
4701900000,12090
4709100000,12090
4709100000,12070
4716300000,12070
4716300000,12060
4723500000,12060
4723500000,12040
4730700000,12040
4730700000,12020
4737900000,12020
4737900000,12000
4745100000,12000
4745100000,11980
4752300000,11980
4752300000,11960
4759500000,11960
4759500000,11940
4766700000,11940
4766700000,11920
4773900000,11920
4773900000,11900
4781100000,11900
4781100000,11880
4788300000,11880
4788300000,11860
4795500000,11860
4795500000,11840
4802700000,11840
4802700000,11820
4809900000,11820
4809900000,11800
4817100000,11800
4817100000,11780
4824300000,11780
4824300000,11760
4831500000,11760
4831500000,11740
4838700000,11740
4838700000,11720
4845900000,11720
4845900000,11700
4853100000,11700
4853100000,11690
4860300000,11690
4860300000,11670
4867500000,11670
4867500000,11650
4874700000,11650
4874700000,11630
4881900000,11630
4881900000,11610
4889100000,11610
4889100000,11590
4896300000,11590
4896300000,11570
4903500000,11570
4903500000,11550
4910700000,11550
4910700000,11530
4917900000,11530
4917900000,11520
4925100000,11520
4925100000,11500
4932300000,11500
4932300000,11480
4939500000,11480
4939500000,11460
4946700000,11460
4946700000,11440
4953900000,11440
4953900000,11420
4961100000,11420
4961100000,11400
4968300000,11400
4968300000,11380
4975500000,11380
4975500000,11370
4982700000,11370
4982700000,11350
4989900000,11350
4989900000,11330
4997100000,11330
4997100000,11310
5004300000,11310
5004300000,11290
5011500000,11290
5011500000,11270
5018700000,11270
5018700000,11260
5025900000,11260
5025900000,11240
5033100000,11240
5033100000,11220
5040300000,11220
5040300000,11200
5047500000,11200
5047500000,11180
5054700000,11180
5054700000,11160
5061900000,11160
5061900000,11150
5069100000,11150
5069100000,11130
5076300000,11130
5076300000,11110
5083500000,11110
5083500000,11090
5090700000,11090
5090700000,11070
5097900000,11070
5097900000,11060
5105100000,11060
5105100000,11040
5112300000,11040
5112300000,11020
5119500000,11020
5119500000,11000
5126700000,11000
5126700000,10980
5133900000,10980
5133900000,10960
5141100000,10960
5141100000,10950
5148300000,10950
5148300000,10930
5155500000,10930
5155500000,10910
5162700000,10910
5162700000,10890
5169900000,10890
5169900000,10880
5177100000,10880
5177100000,10860
5184300000,10860
5184300000,10840
5191500000,10840
5191500000,10820
5198700000,10820
5198700000,10800
5205900000,10800
5205900000,10790
5213100000,10790
5213100000,10770
5220300000,10770
5220300000,10750
5227500000,10750
5227500000,10730
5234700000,10730
5234700000,10720
5241900000,10720
5241900000,10700
5249100000,10700
5249100000,10680
5256300000,10680
5256300000,10660
5263500000,10660
5263500000,10650
5270700000,10650
5270700000,10630
5277900000,10630
5277900000,10610
5285100000,10610
5285100000,10600
5292300000,10600
5292300000,10580
5299500000,10580
5299500000,10560
5306700000,10560
5306700000,10540
5313900000,10540
5313900000,10530
5321100000,10530
5321100000,10510
5328300000,10510
5328300000,10490
5335500000,10490
5335500000,10470
5342700000,10470
5342700000,10460
5349900000,10460
5349900000,10440
5357100000,10440
5357100000,10420
5364300000,10420
5364300000,10410
5371500000,10410
5371500000,10390
5378700000,10390
5378700000,10370
5385900000,10370
5385900000,10360
5393100000,10360
5393100000,10340
5400300000,10340
5400300000,10320
5407500000,10320
5407500000,10310
5414700000,10310
5414700000,10290
5421900000,10290
5421900000,10270
5429100000,10270
5429100000,10260
