time,pid_tb.setpoint[31:0]
2492300000,695000
2499500000,695000
2499500000,697000
2506700000,697000
2506700000,699000
2513900000,699000
2513900000,701000
2521100000,701000
2521100000,703000
2528300000,703000
2528300000,705000
2535500000,705000
2535500000,707000
2542700000,707000
2542700000,709000
2549900000,709000
2549900000,711000
2557100000,711000
2557100000,713000
2564300000,713000
2564300000,715000
2571500000,715000
2571500000,717000
2578700000,717000
2578700000,719000
2585900000,719000
2585900000,721000
2593100000,721000
2593100000,723000
2600300000,723000
2600300000,725000
2607500000,725000
2607500000,727000
2614700000,727000
2614700000,729000
2621900000,729000
2621900000,731000
2629100000,731000
2629100000,733000
2636300000,733000
2636300000,735000
2643500000,735000
2643500000,737000
2650700000,737000
2650700000,739000
2657900000,739000
2657900000,741000
2665100000,741000
2665100000,743000
2672300000,743000
2672300000,745000
2679500000,745000
2679500000,747000
2686700000,747000
2686700000,749000
2693900000,749000
2693900000,751000
2701100000,751000
2701100000,753000
2708300000,753000
2708300000,755000
2715500000,755000
2715500000,757000
2722700000,757000
2722700000,759000
2729900000,759000
2729900000,761000
2737100000,761000
2737100000,763000
2744300000,763000
2744300000,765000
2751500000,765000
2751500000,767000
2758700000,767000
2758700000,769000
2765900000,769000
2765900000,771000
2773100000,771000
2773100000,773000
2780300000,773000
2780300000,775000
2787500000,775000
2787500000,777000
2794700000,777000
2794700000,779000
2801900000,779000
2801900000,781000
2809100000,781000
2809100000,783000
2816300000,783000
2816300000,785000
2823500000,785000
2823500000,787000
2830700000,787000
2830700000,789000
2837900000,789000
2837900000,791000
2845100000,791000
2845100000,793000
2852300000,793000
2852300000,795000
2859500000,795000
2859500000,797000
2866700000,797000
2866700000,799000
2873900000,799000
2873900000,801000
2881100000,801000
2881100000,803000
2888300000,803000
2888300000,805000
2895500000,805000
2895500000,807000
2902700000,807000
2902700000,809000
2909900000,809000
2909900000,811000
2917100000,811000
2917100000,813000
2924300000,813000
2924300000,815000
2931500000,815000
2931500000,817000
2938700000,817000
2938700000,819000
2945900000,819000
2945900000,821000
2953100000,821000
2953100000,823000
2960300000,823000
2960300000,825000
2967500000,825000
2967500000,827000
2974700000,827000
2974700000,829000
2981900000,829000
2981900000,831000
2989100000,831000
2989100000,833000
2996300000,833000
2996300000,835000
3003500000,835000
3003500000,837000
3010700000,837000
3010700000,839000
3017900000,839000
3017900000,841000
3025100000,841000
