time,pid_tb.pos[31:0]
14041100000,-9901
14048300000,-9901
14048300000,-9885
14055500000,-9885
14055500000,-9869
14062700000,-9869
14062700000,-9853
14069900000,-9853
14069900000,-9837
14077100000,-9837
14077100000,-9821
14084300000,-9821
14084300000,-9805
14091500000,-9805
14091500000,-9789
14098700000,-9789
14098700000,-9773
14105900000,-9773
14105900000,-9757
14113100000,-9757
14113100000,-9741
14120300000,-9741
14120300000,-9725
14127500000,-9725
14127500000,-9709
14134700000,-9709
14134700000,-9693
14141900000,-9693
14141900000,-9677
14149100000,-9677
14149100000,-9661
14156300000,-9661
14156300000,-9645
14163500000,-9645
14163500000,-9629
14170700000,-9629
14170700000,-9613
14177900000,-9613
14177900000,-9597
14185100000,-9597
14185100000,-9581
14192300000,-9581
14192300000,-9565
14199500000,-9565
14199500000,-9549
14206700000,-9549
14206700000,-9533
14213900000,-9533
14213900000,-9518
14221100000,-9518
14221100000,-9503
14228300000,-9503
14228300000,-9488
14235500000,-9488
14235500000,-9473
14242700000,-9473
14242700000,-9458
14249900000,-9458
14249900000,-9442
14257100000,-9442
14257100000,-9426
14264300000,-9426
14264300000,-9410
14271500000,-9410
14271500000,-9394
14278700000,-9394
14278700000,-9378
14285900000,-9378
14285900000,-9362
14293100000,-9362
14293100000,-9346
14300300000,-9346
14300300000,-9330
14307500000,-9330
14307500000,-9315
14314700000,-9315
14314700000,-9300
14321900000,-9300
14321900000,-9285
14329100000,-9285
14329100000,-9270
14336300000,-9270
14336300000,-9255
14343500000,-9255
14343500000,-9240
14350700000,-9240
14350700000,-9225
14357900000,-9225
14357900000,-9210
14365100000,-9210
14365100000,-9195
14372300000,-9195
14372300000,-9180
14379500000,-9180
14379500000,-9165
14386700000,-9165
14386700000,-9150
14393900000,-9150
14393900000,-9135
14401100000,-9135
14401100000,-9120
14408300000,-9120
14408300000,-9105
14415500000,-9105
14415500000,-9090
14422700000,-9090
14422700000,-9075
14429900000,-9075
14429900000,-9060
14437100000,-9060
14437100000,-9045
14444300000,-9045
14444300000,-9030
14451500000,-9030
14451500000,-9015
14458700000,-9015
